"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"177","Alosa sapidissima","American shad","Female",38.3,NA,"FL","United States","St John's River, Florida","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38973 target='_blank' >Reference</a>"
"178","Alosa sapidissima","American shad","Male",30.5,NA,"FL","United States","St. John's River, Florida","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=38973 target='_blank' >Reference</a>"
"185","Amia calva","Bowfin","Female",61,NA,NA,NA,"North America","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=1998 target='_blank' >Reference</a>"
"186","Amia calva","Bowfin","Male",45.7,NA,NA,NA,"North America","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=1998 target='_blank' >Reference</a>"
"189","Amia calva","Bowfin","Female",38,NA,"TL","United States","Chesapeake Bay","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=93252 target='_blank' >Reference</a>"
"190","Anguilla rostrata","American eel","Unsexed",35.3,NA,"TL","United States","Altamaha River, Georgia, 1980-81","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=7130 target='_blank' >Reference</a>"
"191","Anguilla rostrata","American eel","Female",37,NA,"TL","United States","Chesapeake Bay.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=93252 target='_blank' >Reference</a>"
"192","Anguilla rostrata","American eel","Male",22,NA,"TL","United States","Chesapeake Bay.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=93252 target='_blank' >Reference</a>"
"194","Catostomus catostomus","Longnose sucker","Unsexed",13,NA,"FL",NA,"Frye Creek, Sixteen Mile Lake","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=10928 target='_blank' >Reference</a>"
"200","Catostomus commersonii","White sucker","Unsexed",23,NA,"FL",NA,"Frye Creek, Sixteenmile Lake","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=10928 target='_blank' >Reference</a>"
"202","Catostomus platyrhynchus","Mountain sucker","Female",14.3,NA,"TL","United States","Lost Creek Reservoir, Utah, 1977","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48536 target='_blank' >Reference</a>"
"203","Catostomus platyrhynchus","Mountain sucker","Female",12.7,NA,"TL","United States","Montana streams","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48879 target='_blank' >Reference</a>"
"204","Catostomus platyrhynchus","Mountain sucker","Female",10.6,NA,"TL","United States","Shoal Creek, Utah and Bitter Creek, Wyoming","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=10452 target='_blank' >Reference</a>"
"205","Catostomus platyrhynchus","Mountain sucker","Male",11.5,NA,"TL","United States","Lost Creek Reservoir, Utah, 1977","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48536 target='_blank' >Reference</a>"
"206","Catostomus platyrhynchus","Mountain sucker","Male",10.7,NA,"TL","United States","Montana streams","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=48879 target='_blank' >Reference</a>"
"207","Catostomus platyrhynchus","Mountain sucker","Male",7.6,NA,"TL","United States","Shoal Creek, Utah and Bitter Creek, Wyoming","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=10452 target='_blank' >Reference</a>"
"208","Clupea harengus","Atlantic herring","Unsexed",NA,25,NA,"Canada","New Brunswick","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=796 target='_blank' >Reference</a>"
"209","Clupea harengus","Atlantic herring","Unsexed",NA,30,NA,NA,"Southern Gulf of St. Lawrence","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2809 target='_blank' >Reference</a>"
"210","Clupea harengus","Atlantic herring","Unsexed",NA,32.5,NA,NA,"Southern Gulf of St. Lawrence.","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=2809 target='_blank' >Reference</a>"
"212","Clupea harengus","Atlantic herring","Female",NA,25.4,"TL","United States","Northeastern coast, 1987-89","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=12186 target='_blank' >Reference</a>"
"213","Clupea harengus","Atlantic herring","Male",NA,25.3,"TL","United States","Northeastern coast, 1987-89","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=12186 target='_blank' >Reference</a>"
"215","Clupea harengus","Atlantic herring","Unsexed",NA,26.8,"TL","Canada","Georges Bank, 1986","<a href=http://fishbase.us/references/ReferencesList.php?Author=&Year=&Title=&Source=&RefNo=92075 target='_blank' >Reference</a>"
