English Common Name,French Common Name,Scientific Name,Group
Sharpnose Shiner,M?n? ? nez pointu,Notropis oxyrhynchus,"Catfish, Salmon, Sunfish & Walleye"
Shorthead Redhorse,Chevalier rouge,Moxostoma macrolepidotum,"Catfish, Salmon, Sunfish & Walleye"
Shorthead Sculpin,Chabot ? t?te courte,Cottus confusus,
Shortjaw Cisco,Cisco ? m?choires ?gales,Coregonus zenithicus,"Catfish, Salmon, Sunfish & Walleye"
Shortnose Cisco,Cisco ? museau court,Coregonus reighardi,"Catfish, Salmon, Sunfish & Walleye"
Shortnose Sturgeon,Esturgeon ? museau court,Acipenser brevirostrum,Herring & Sturgeon
Shovelnose Sturgeon,Esturgeon ? museau plat,Scaphirhynchus platorynchus,Herring & Sturgeon
Silver Chub,,Macrhybopsis?storeriana,"Catfish, Salmon, Sunfish & Walleye"
Silver Lamprey,Lamproie argent?e,Ichthyomyzon unicuspis,Eel
Silver Redhorse,Chevalier blanc,Moxostoma anisurum,"Catfish, Salmon, Sunfish & Walleye"
Silverband Shiner,M?n? miroir,Notropis shumardi,"Catfish, Salmon, Sunfish & Walleye"
Slimy Sculpin,Chabot visqueux,Cottus cognatus,
Smalleye Shiner,M?n? ? petits yeux,Notropis buccula,"Catfish, Salmon, Sunfish & Walleye"
Smallmouth Bass,Achigan ? petite bouche,Micropterus dolomieu,"Catfish, Salmon, Sunfish & Walleye"
Sockeye Salmon,Saumon rouge,Oncorhynchus nerka,"Catfish, Salmon, Sunfish & Walleye"
Southern Leatherside Chub,,Lepidomeda aliciae,"Catfish, Salmon, Sunfish & Walleye"
Speckled Chub,M?n? mouchet?,Macrhybopsis aestivalis,"Catfish, Salmon, Sunfish & Walleye"
Speckled Dace,seux mouchet?,Rhinichthys osculus,"Catfish, Salmon, Sunfish & Walleye"
Splittail,,Pogonichthys macrolepidotus,"Catfish, Salmon, Sunfish & Walleye"
Spoonhead Sculpin,Chabot ? t?te plate,Cottus ricei,
Spotfin Shiner,M?n? bleu,Cyprinella spiloptera,"Catfish, Salmon, Sunfish & Walleye"
Spottail Shiner,Queue ? tache noire,Notropis hudsonius,"Catfish, Salmon, Sunfish & Walleye"
Spotted Gar,L?pisost? tachet?,Lepisosteus oculatus,Pike
Spotted Sucker,,Minytrema melanops,"Catfish, Salmon, Sunfish & Walleye"
Stonecat,Barbotte des rapides,Noturus flavus,"Catfish, Salmon, Sunfish & Walleye"
Striped Bass,Bar d'Am?rique,Morone saxatilis,"Catfish, Salmon, Sunfish & Walleye"
Striped Shiner,M?n? ray?,Luxilus chrysocephalus,"Catfish, Salmon, Sunfish & Walleye"
Tadpole Madtom,Chat-fou brun,Noturus gyrinus,"Catfish, Salmon, Sunfish & Walleye"
Tench,Tanche,Tinca tinca,"Catfish, Salmon, Sunfish & Walleye"
Texas Shiner,,Notropis amabilis,"Catfish, Salmon, Sunfish & Walleye"
Threespine stickleback,?pinoche ? trois ?pines,Gasterosteus aculeatus,
Tiger Muskellunge,,Esox lucius ? masquinongy,Pike
Topeka Shiner,M?n? Topeka,Notropis topeka,"Catfish, Salmon, Sunfish & Walleye"
Torrent Sculpin,Chabot de torrent,Cottus rhotheus,
Trout-perch,Omisco,Percopsis omiscomaycus,"Catfish, Salmon, Sunfish & Walleye"
Twaite Shad,Alose feinte,Alosa fallax,Herring & Sturgeon
Walleye,Dor? jaune,Sander vitreus,"Catfish, Salmon, Sunfish & Walleye"
Weed Shiner,M?n? d?herbe,Notropis texanus,"Catfish, Salmon, Sunfish & Walleye"
Western Brook Lamprey,Lamproie de l' ouest,Lampetra richardsoni,Eel
White Bass,Bar blanc,Morone chrysops,"Catfish, Salmon, Sunfish & Walleye"
White Crappie,Crapet calicot,Pomoxis annularis,"Catfish, Salmon, Sunfish & Walleye"
White Perch,Bar blanc d'Amerique,Morone americana,"Catfish, Salmon, Sunfish & Walleye"
White Sturgeon,Esturgeon blanc,Acipenser transmontanus,Herring & Sturgeon
White Sucker,Meunier noir,Catostomus commersonii,"Catfish, Salmon, Sunfish & Walleye"
Yellow Bullhead,Barbotte jaune,Ameiurus natalis,"Catfish, Salmon, Sunfish & Walleye"
Yellow Perch,Perchaude,Perca flavescens,"Catfish, Salmon, Sunfish & Walleye"
