"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"117","Salmo trutta","Sea trout","Male",125,NA,NA,NA,"Not specified.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=41168 target='_blank' >Gabrielyan 2001</a>"
"120","Salmo trutta","Sea trout","Female",2570,NA,"FL","Poland","Department of Salmonid Research in Rutki of the Inland Fisheries Institute, Olsztyn, 1998-2002","<a href=http://fishbase.ca/references/FBRefSummary.php?id=91275 target='_blank' >D?bowski et al. 2005</a>"
"121","Salmo macrostigma",NA,"Female",178,NA,"FL","Turkey","Ceyhan River (2000-2001)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=50434 target='_blank' >Alp et al. 2003</a>"
"122","Salmo macrostigma",NA,"Male",174,NA,"FL","Turkey","Ceyhan River (2000-2001)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=50434 target='_blank' >Alp et al. 2003</a>"
"127","Scardinius erythrophthalmus","Rudd","Female",NA,81,NA,"Turkey","Lake Sapanca (2000-2002)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75295 target='_blank' >Tarkan 2006</a>"
"128","Scardinius erythrophthalmus","Rudd","Male",NA,71.2,"TL","Turkey","Lake Sapanca (2000-2002)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75295 target='_blank' >Tarkan 2006</a>"
"129","Scardinius acarnanicus",NA,"Unsexed",140,NA,"SL","Italy","Acheloos drainge","<a href=http://fishbase.ca/references/FBRefSummary.php?id=59043 target='_blank' >Kottelat et al. 2007</a>"
"131","Tinca tinca","Tench","Unsexed",70,NA,"SL",NA,"Not specified","<a href=http://fishbase.ca/references/FBRefSummary.php?id=59043 target='_blank' >Kottelat et al. 2007</a>"
"132","Tinca tinca","Tench","Female",198,NA,"FL","Turkey","Kayabogazi Dam Lake (1996-1997)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75325 target='_blank' >Alas et al. 2004</a>"
"133","Tinca tinca","Tench","Male",169,NA,"FL","Turkey","Kayabogazi Dam Lake (1996-1997)","<a href=http://fishbase.ca/references/FBRefSummary.php?id=75325 target='_blank' >Alas et al. 2004</a>"
"134","Margariscus margarita","Allegheny pearl dace","Unsexed",NA,94,"SL","Canada","Ontario","<a href=http://fishbase.ca/references/FBRefSummary.php?id=58612 target='_blank' >Portt et al. 1988</a>"
"135","Acipenser brevirostrum","Shortnose sturgeon","Female",450,NA,"FL","United States","St. John River, New Brunswick","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38308 target='_blank' >Vecsei et al. 2000</a>"
"136","Acipenser brevirostrum","Shortnose sturgeon","Female",700,NA,"TL",NA,"St. Johns River, New Brunswick","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38308 target='_blank' >Vecsei et al. 2000</a>"
"137","Acipenser brevirostrum","Shortnose sturgeon","Male",490,NA,NA,"United States","St. John River, New Brunswick","<a href=http://fishbase.ca/references/FBRefSummary.php?id=4639 target='_blank' >Jones et al. 1978</a>"
"140","Acipenser fulvescens","Lake sturgeon","Unsexed",NA,1120,NA,"United States","Wisconsin","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"141","Acipenser fulvescens","Lake sturgeon","Female",NA,800,"TL",NA,"Nottaway River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=9979 target='_blank' >Magnin 1966</a>"
"142","Acipenser fulvescens","Lake sturgeon","Male",NA,900,"TL",NA,"Nottaway River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=9979 target='_blank' >Magnin 1966</a>"
"143","Acipenser fulvescens","Lake sturgeon","Female",NA,1140,"TL",NA,"Quebec","<a href=http://fishbase.ca/references/FBRefSummary.php?id=9980 target='_blank' >Vladykov et al. 1963</a>"
"144","Acipenser fulvescens","Lake sturgeon","Male",NA,965,"TL",NA,"Quebec","<a href=http://fishbase.ca/references/FBRefSummary.php?id=9980 target='_blank' >Vladykov et al. 1963</a>"
