ScientificName,CommonName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference,URL
Fundulus notatus,blackstripe topminnow,,36,38,TL,United States,"Fox River, Wisconsin","Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Fundulus notatus,blackstripe topminnow,Mixed,41,48,TL,United States,"Rock River, Wisconsin","Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Labidesthes sicculus,brook silverside,,,74,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Apeltes quadracus,fourspine stickleback,,,41,SL,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Culaea inconstans,brook stickleback,,,50,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Gasterosteus aculeatus,Three-spined stickleback,,,37,TL,England and Wales (UK),Birket River,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Pungitius pungitius,ninespine stickleback,,,35,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Cottus aleuticus,coastrange sculpin,,,71,TL,United States,Oregon,"Wydoski and Whitney, 1979",http://fishbase.us/references/FBRefSummary.php?id=58470
Cottus asper,prickly sculpin,Female,,94,SL,United States,Washington,"Wydoski and Whitney, 1979",http://fishbase.us/references/FBRefSummary.php?id=58470
Cottus asper,prickly sculpin,,,71,SL,United States,Oregon,"Wydoski and Whitney, 1979",http://fishbase.us/references/FBRefSummary.php?id=58470
Cottus bairdii,mottled sculpin,,,60,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Cottus cognatus,slimy sculpin,,,63,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Cottus confusus,shorthead sculpin,,60,65,,Canada,"Flathead River, British Columbia",Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Cottus rhotheus,torrent sculpin,,,53,SL,Canada,British Columbia,"Wydoski and Whitney, 1979",http://fishbase.us/references/FBRefSummary.php?id=58470
Cottus ricei,spoonhead sculpin,,,68,,,Lake Superior,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Myoxocephalus quadricornis,fourhorn sculpin,Male,,150,TL,Canada,"Tuktoyaktuk Peninsula, Nortwest Territories","Houston, 1990b",http://www.fishbase.org/References/FBRefSummary.php?id=58522
Myoxocephalus quadricornis,fourhorn sculpin,Female,,180,TL,Canada,"Tuktoyaktuk Peninsula, Nortwest Territories","Houston, 1990b",http://www.fishbase.org/References/FBRefSummary.php?id=58522
Myoxocephalus thompsonii,deepwater sculpin,,,81,TL,Canada,"Burchell Lake, Ontario","Black and Lankester, 1981",https://doi.org/10.1139/z81-196
Morone americana,white perch,,,254,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Morone chrysops,white bass,,,115,SL,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Morone saxatilis,striped bass,,,422,FL,,St. Lawrence River,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Ambloplites rupestris,rock bass,,,54,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Lepomis cyanellus,green sunfish,,,76,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Lepomis gibbosus,pumpkinseed,,,59,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Lepomis gulosus,warmouth,,,89,,,,"Carlander, 1969",http://www.fishbase.org/References/FBRefSummary.php?id=3672
Lepomis humilis,orangespotted sunfish,,,55,TL,Canada,"Cedar Creek, Ontario",Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Lepomis macrochirus,bluegill,,,93,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Lepomis megalotis,longear sunfish,,,99,TL,United States,Michigan,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Micropterus dolomieu,smallmouth bass,,,264,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Micropterus salmoides,largemouth bass,,,272,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Pomoxis annularis,white crappie,,152,177,TL,United States,,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Pomoxis nigromaculatus,black crappie,,,192,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Ammocrypta pellucida,eastern sand darter,,,36,SL,,,"Holm and Mandrak, 1995",http://science-catalogue.canada.ca/record=b3654104~S6
Etheostoma blennioides,greenside darter,,52,56,TL,Canada,"Grand River, Ontario","Bunt et al. 1998; agrees with SL in Fahy, 1954",https://doi.org/10.1023/A:1007444811400
Etheostoma caeruleum,rainbow darter,,34,43,TL,United States,Wisconsin,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Etheostoma exile,Iowa darter,,,43,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Etheostoma flabellare,fantail darter,,,55,TL,United States,West and North of Viginia,"Jenkins and Burkhead, 1993",http://fishbase.us/references/FBRefSummary.php?id=54724
Etheostoma microperca,least darter,Male,,34,TL,United States,"Dinner Creek, Minnesota","Johnson and Hatch, 1991",https://doi.org/10.2307/2426372
Etheostoma microperca,least darter,Female,,33,TL,United States,"Dinner Creek, Minnesota","Johnson and Hatch, 1991",https://doi.org/10.2307/2426372
Etheostoma nigrum,johnny darter,,,37,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Etheostoma olmstedi,tessellated darter,,,40,TL,,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Percina caprodes,logperch,,,106,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Percina copelandi,channel darter,Female,,35,SL,,,"Jenkins and Burkhead, 1993",http://fishbase.us/references/FBRefSummary.php?id=54724
Percina maculata,blackside darter,,,70,TL,United States,Wisconsin,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Percina shumardi,river darter,,,50,,United States,Wisconsin,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Gymnocephalus cernua,ruffe,,,115,TL,,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Perca flavescens,yellow perch,,,175,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Sander canadensis,sauger,,,283,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Sander vitreus,walleye,,,328,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Aplodinotus grunniens,freshwater drum,,,292,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
