	English.Common.Name	French.Common.Name	Scientific.Name	Group.s.	Screen.Area.Coefficient	Approach.Velocity
157	Bull Trout	Omble à tête plate	Salvelinus confluentus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
158	Arctic Char	Omble chevalier	Salvelinus alpinus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
159	Arctic Grayling	Ombre arctique	Thymallus arcticus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
160	European Grayling	Ombre commun	Thymallus thymallus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
161	Trout-perch	Omisco	Percopsis omiscomaycus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
162	Fallfish	Ouitouche	Semotilus corporalis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
163	Yellow Perch	Perchaude	Perca flavescens	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
164	European Perch	Perche fluviatile	Perca fluviatilis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
165	Bullhead Minnow	Pimephales vigilax	Pimephales vigilax	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
166	Colorado Pike Minnow	Poisson squaw du Colorado	Ptychocheilus lucius	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
167	Bowfin	Poisson-castor	Amia calva	Eel	0.02871	0.035
168	Black Bullhead	Poisson-chat	Ameiurus melas	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
169	Blue Catfish	Poisson-chat bleu	Ictalurus furcatus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
170	ChannelxBlue catfish hybrid	Poisson-chat tacheté × poisson-chat bleu hybride	Ictalurus punctatusxfurcatus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
171	Bigmouth Buffalo	Poisson-taureau	Ictiobus cyprinellus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
172	Atlantic Tomcod	Poulamon	Microgadus tomcod	Eel	0.02871	0.035
173	Spottail Shiner	Queue à tache noire	Notropis hudsonius	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
174	Johnny Darter	Raseux-de-terre noir	Etheostoma nigrum	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
