ScientificName,CommonName,FrenchName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference,URL
Hiodon tergisus,Mooneye,Laquaiche argentée,,,320,TL,,North America,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Cottus bairdii,Mottled Sculpin,Chabot tacheté,,,60,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Prosopium williamsoni,Mountain Whitefish,Ménomini des montagnes,,,230,,Canada,British Columbia,Ford et al. 1995,http://publications.gc.ca/pub?id=9.562530&sl=0
Fundulus heteroclitus,Mummichog,Choquemort,,,38,,,,Coad et al. 1995,http://fishbase.us/references/FBRefSummary.php?id=12204
Esox masquinongy,Muskellunge,Maskinongé,,,650,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Pungitius pungitius,Ninespine Stickleback,Épinoche à neuf épines,,,35,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Hypentelium nigricans,Northern Hog Sucker,,,,133,TL,United States,New York,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Noturus stigmosus,Northern Madtom,,,,60,,United States,Ohio,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=3987
Esox lucius,Northern Pike,Brochet,,,534,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Chrosomus eos,Northern Redbelly Dace,Ventre rouge du nord,,,46,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Ptychocheilus oregonensis,Northern Squawfish,,,,305,,Canada,British Columbia,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Lepomis humilis,Orangespotted Sunfish,,,,55,TL,Canada,"Cedar Creek, Ontario",Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Entosphenus tridentatus,Pacific Lamprey,Lamproie du Pacifique,,,537,,Canada,"Thompson and Nicola Rivers, British Columbia",Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Oncorhynchus gorbuscha,Pink Salmon,Saumon rose,,,411,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Hypomesus olidus,Pond Smelt,Éperlan à petite bouche,,,75,,United States,Alaska,"McPhail and Lindsey, 1970",http://fishbase.us/references/FBRefSummary.php?id=10280
Cottus asper,Prickly Sculpin,Chabot piquant,Female,,94,SL,United States,Washington,"Wydoski and Whitney, 1979",http://fishbase.us/references/FBRefSummary.php?id=58470
Cottus asper,Prickly Sculpin,Chabot piquant,,,71,SL,United States,Oregon,"Wydoski and Whitney, 1979",http://fishbase.us/references/FBRefSummary.php?id=58470
Lepomis gibbosus,Pumpkinseed,Crapet-soleil,,,59,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Prosopium coulterii,Pygmy Whitefish,Ménomini pygmée,Male,91,,TL,,Lake Superior,"Eschmeyer and Bailey, 1954",http://fishbase.us/references/FBRefSummary.php?id=28945
Prosopium coulterii,Pygmy Whitefish,Ménomini pygmée,Female,107,,TL,,Lake Superior,"Eschmeyer and Bailey, 1954",http://fishbase.us/references/FBRefSummary.php?id=28945
Carpiodes cyprinus,Quillback,Couette,,,472,SL,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Etheostoma caeruleum,Rainbow Darter,Dard arc-en-ciel,,34,43,TL,United States,Wisconsin,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Osmerus mordax,Rainbow Smelt,Éperlan arc-en-ciel,,,125,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Oncorhynchus mykiss,Rainbow Trout,Truite arc-en-ciel,,,349,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Esox americanus americanus,Redfin Pickerel,Brochet d'Amérique,,140,178,FL,United States,North Carolina,"Scott and Crossman, 1973",http://fishbase.us/references/FBRefSummary.php?id=52559
Clinostomus elongatus,Redside Dace,Méné long,Male,,61.7,SL,United States,New York,"Koster, 1939",https://doi.org/10.2307/1436880
Clinostomus elongatus,Redside Dace,Méné long,Female,,69.1,SL,United States,New York,"Koster, 1939",https://doi.org/10.2307/1436880
Richardsonius balteatus,Redside Shiner,Méné rose,,,69,,United States,Montana,"Wydoski and Whitney, 1979.",http://fishbase.us/references/FBRefSummary.php?id=58470
Percina shumardi,River Darter,,,,50,,United States,Wisconsin,"Becker, 1983",http://fishbase.us/references/FBRefSummary.php?id=54725
Lampetra ayresii,River Lamprey,Lamproie de rivière,,,162,,,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Moxostoma carinatum,River Redhorse,Chevalier de rivière,,,335,TL,,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Notropis blennius,River Shiner,,,,69,SL,,Lake of the Woods,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Ambloplites rupestris,Rock Bass,Crapet de roche,,,54,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Notropis rubellus,Rosyface Shiner,Tête rose,,,50,SL,United States,New York,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Prosopium cylindraceum,Round Whitefish,Ménomini rond,,,183,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Gymnocephalus cernua,Ruffe,,,,115,TL,,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Notropis stramineus,Sand Shiner,Méné paille,,,29,SL,,,"Jenkins and Burkhead, 1993",http://fishbase.us/references/FBRefSummary.php?id=54724
